Artist Alphabetical           Artist Display Name           
AEROSMITH                     AEROSMITH                     
BOSTON                        BOSTON                        
CHAPMAN, TRACY                TRACY CHAMPAN                 
DEF LEPPARD                   DEF LEPPARD                   
FLEETWOOD MAC                 FLEETWOOD MAC                 
HEART                         HEART                         
JAMES, ETTA                   ETTA JAMES                    
JOPLIN, JANIS                 JANIS JOPLIN                  
JUDD, WYNONNA                 WYNONNA JUDD                  
LED ZEPPELIN                  LED ZEPPELIN                  
MEATLOAF                      MEATLOAF                      
SKID ROW                      SKID ROW                      
TESLA                         TESLA                         
TILLIS, PAM                   PAM TILLIS                    
TURNER, TINA                  TINA TURNER                   
