Artist                        	Song Title                    
AEROSMITH                     	DREAM ON                      
AEROSMITH                     	PINK                          
BOSTON                        	LONG TIME                     
CHAPMAN, TRACY                	GIVE ME ONE REASON            
DEF LEPPARD                   	PYROMANIA                     
DEF LEPPARD                   	ROCK OF AGES                  
FLEETWOOD MAC                 	DREAMS                        
FLEETWOOD MAC                 	GO YOUR OWN WAY               
FLEETWOOD MAC                 	RHIANNON                      
HEART                         	ALONE                         
HEART                         	MAGIC MAN                     
JAMES, ETTA                   	I'D RATHER GO BLIND           
JOPLIN, JANIS                 	ME AND BOBBY MCGEE            
JUDD, WYNONNA                 	NO ONE ELSE ON EARTH          
LED ZEPPELIN                  	D'YER MAK'R                   
MEATLOAF                      	BAT OUT OF HELL               
SKID ROW                      	I REMEMBER YOU                
TESLA                         	LOVE SONG                     
TESLA                         	MODERN DAY COWBOY             
TILLIS, PAM                   	MAYBE IT WAS MEMPHIS          
TURNER, TINA                  	WHAT'S LOVE GOT TO DO WITH IT?
